id,type,long,trend,entry_i,entry_ts,entry,sl,tp,atr,exit_i,exit_ts,exit,reason,bars,gross,comm,net,pts,trail
667,TS,False,True,19899,1755610200000,115747.45,115974.40886048539,115180.05284878651,378.26476747565533,19899,1755610200000,115180.05284878651,TP,0,56.73971512134886,5.787372500000001,50.952342621348855,567.3971512134885,
668,TS,False,True,19900,1755612000000,115192.0,115456.48051330786,114530.79871673034,440.80085551310884,19900,1755612000000,114530.79871673034,TP,0,66.12012832696637,5.759600000000001,60.36052832696637,661.2012832696637,
669,TS,False,True,19901,1755613800000,114139.15,114414.81019092872,113449.99952267816,459.43365154788705,19901,1755613800000,114414.81019092872,SL,0,-27.56601909287274,5.706957500000001,-33.27297659287274,275.6601909287274,
670,TS,False,True,19905,1755621000000,113646.17,113918.3863571719,112965.62910707026,453.69392861982607,19909,1755628200000,112965.62910707026,TP,4,68.0540892929741,11.330589955353513,56.72349933762058,680.540892929741,0.0
671,TS,False,True,19916,1755640800000,113419.1,113651.05468227073,112839.21329432321,386.5911371178612,19918,1755644400000,112839.21329432321,TP,2,57.98867056767922,11.312915664716162,46.675754902963064,579.8867056767922,0.0
672,TS,False,True,19951,1755703800000,114300.0,114608.29493941035,113529.26265147414,513.8248990172432,19951,1755703800000,113529.26265147414,TP,0,77.07373485258577,5.715,71.35873485258577,770.7373485258577,
673,TL,True,True,20111,1755991800000,115273.29,115149.62943679476,115582.4414080131,206.10093867540374,20114,1755997200000,115273.29,BE,3,0.0,11.527329,-11.527329,0.0,0.0
674,TL,True,True,20115,1755999000000,115292.74,115165.59361516804,115610.60596207992,211.91064138661503,20116,1756000800000,115610.60596207992,TP,1,31.786596207991536,11.545167298103998,20.24142890988754,317.86596207991533,0.0
675,TS,False,True,20171,1756099800000,112538.39,112822.94240067799,111827.00899830503,474.2540011299827,20173,1756103400000,111827.00899830503,TP,2,71.13810016949719,11.218269949915252,59.91983021958194,711.3810016949719,0.0
676,TS,False,True,20175,1756107000000,111902.66,112187.81928638495,111189.76178403765,475.2654773082413,20176,1756108800000,111189.76178403765,TP,1,71.28982159623557,11.154621089201884,60.13520050703369,712.8982159623556,0.0
677,TS,False,True,20180,1756116000000,111800.0,112101.11614771324,111047.2096307169,501.8602461887326,20181,1756117800000,111047.2096307169,TP,1,75.27903692831023,11.142360481535846,64.13667644677439,752.7903692831023,0.0
678,TS,False,True,20199,1756150200000,111960.99,112315.76704862952,111074.04737842621,591.2950810491898,20199,1756150200000,111074.04737842621,TP,0,88.69426215737913,5.598049500000001,83.09621265737913,886.9426215737913,
679,TS,False,True,20200,1756152000000,110716.13,111092.38897372741,109775.4825656815,627.0982895456758,20200,1756152000000,111092.38897372741,SL,0,-37.62589737274102,5.5358065000000005,-43.16170387274102,376.2589737274102,
680,TS,False,True,20201,1756153800000,110519.01,110918.44447560402,109520.42381098995,665.7241260066991,20201,1756153800000,109520.42381098995,TP,0,99.85861890100496,5.5259505,94.33266840100495,998.5861890100496,
